company,status_id,status_message,link_name,status_type,status_link,status_published,likes,comments,shares
köhl,1380503632189127_1631791783726976,"Zur Verstärkung unseres After Sales Service Teams suchen wir im Bereich Maschinenbau:
Servicetechniker (m/w) 

http://www.koehl-mb.eu/fileadmin/user_upload/04-unternehmen/04-karriere/01-stellenangebote/Servicetechniker.pdf",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1631791783726976/?type=3,2016-05-02 12:26:28,2,0,8
köhl,1380503632189127_1619275478311940,"Wir gratulieren unserer Schaltanlagen-Division  KÖHL sàrl Power Distribution Systems zur eigenen Facebook-Page!

Bitte gebt der Page ein Like!",,status,,2016-04-01 16:43:43,10,0,0
köhl,1380503632189127_1567845393454949,"Wir suchen motivierte Verstärkung im Bereich
KÖHL s.à r.l. POWER DISTRIBUTION SYSTEMS
--> Bitte fleissig teilen!",Photos from KÖHL Unternehmensgruppe's post,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1567844973454991/?type=3,2015-10-30 17:00:00,9,0,16
köhl,1380503632189127_1430796843826472,"Das KÖHL Warehouse Management System (WMS) unterstützt alle Lagertypen vom einfachen staplerbedienten Blocklager bis zum vollautomatisierten Hochregallager. Es besteht aus einer Materialfluss- sowie einer Lagerverwaltungskomponente, die seperat oder zusammen eingesetzt werden können. 

Das Materialflusssystem verwaltet, kontrolliert und optimiert die Materialflüsse, steuert Regalbediengeräte, Förderanlagen und Peripheriegeräte.

Weitere Informationen findet Ihr hier:
http://www.koehl.eu/produkte/intralogistik/logistik-und-informationssysteme/warehouse-management-system/",KÖHL: Warehouse Management System,video,http://youtu.be/U2rXcuavU8M,2014-11-19 06:36:29,4,0,3
köhl,1380503632189127_1427322157507274,"Für unseren Bereich Facility Management suchen wir: Monteurs/Techniciens pour le service de maintenance  (m/f)

Weitere Informationen hierzu findet Ihr unter:
http://www.koehl.eu/unternehmen/karriere/stellenangebote/
http://www.koehl.eu/fileadmin/user_upload/04-unternehmen/04-karriere/01-stellenangebote/LUXELEC_15.11.14_WEB.PDF",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1427322157507274/?type=3,2014-11-12 12:55:14,1,0,4
köhl,1380503632189127_1427265430846280,"Energiemanagement für die intelligente Fabrik von Morgen.
Was macht einen Produktionsbetrieb eigentlich zur intelligenten Fabrik? 
In dem neuen Eco.On Spotlight werden diese und weitere Fragen zu Energiemanagement geklärt.
http://www.koehl.eu/fileadmin/user_upload/06-mediathek/pdf/KOEHL_ECO.ON_SPOTLIGHT_D.pdf",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1427265430846280/?type=3,2014-11-12 10:09:17,4,0,3
köhl,1380503632189127_1422819851290838,"KÖHL Elektromaschinenbau umfasst Beratung, Wartung, Instandhaltung, Reparatur, Modifikation und den Sonderbau von Versorgungsaggregaten für den Maschinen- und Anlagenbau. Kleinserienproduktion von elektrischen, hydraulischen und mechanischen Anlagenteilen komplettieren das Programm. Ein qualifiziertes Team von Elektromaschinenbauern und Mechanikern garantieren hochwertige, termingenaue Auftragsbearbeitung.

weitere Informationen findet Ihr auf http://www.koehl.eu/produkte/energie/elektromaschinenbau/",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1422819851290838/?type=3,2014-11-04 13:05:49,7,0,3
köhl,1380503632189127_1417445155161641,"Mit Erfahrung und Knowhow entwickelt HEINEN KÖHL automatisierte Systeme für die Tabakindustrie, wie z.B. das End-of-line Palletizing.
Das komplexe, flexible und zuverlässige System für die vollautomatische Palettierung von Versandkartons erfolgt durch Industrieroboter und beinhaltet die Funktionen Kartontransport, Palettenversorgung, Verpackung, Etikettierung, Sicherheitsausrüstung, Kontrollsystem etc. 

Weitere Informationen auf unserer Homepage http://www.koehl.eu/produkte/tabaktechnologie/logistics/end-of-line-palletizing/",KÖHL: End of line,video,https://www.youtube.com/watch?v=rNiIJ1Xfn5s&feature=youtu.be,2014-10-27 10:38:18,4,1,2
köhl,1380503632189127_1409782289261261,"Innovation by demand - Focus on Research & Innovation in Luxembourg

""In the course of only 40 years, one small, family-run electronics supplier has grown into a multi-platform, high technology provider of systems for the entire production process. From switchgears and mechanical engineering to renewable energy, intralogistics and complex automated systems, innovation is key for KÖHL, a company whose customer-centred strategy generates sales all over the world.""

to read the full article click the link below:
http://www.koehl.eu/fileadmin/user_upload/00-news/pdf/ArtikelFocus2014.pdf",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1409782289261261/?type=3,2014-10-17 08:36:15,5,0,2
köhl,1380503632189127_1408583892714434,"Pioniere der regenerativen Stromerzeugung

KÖHL hat mit seinen Lösungen und Produkten den zuverlässigen und wirtschaftlichen Betrieb der Wasserkraftwerke im Blick. Schaltanlagen sowie Systeme zur Automatisierung, Vernetzung, Visualisierung und Prozessleittechnik tragen zu mehr Effizienz und Verfügbarkeit bei.

Partner von KÖHL zu sein heißt auch, den Technologieführer für sichere Energieverteilung an seiner Seite zu haben.

Weitere Informationen findet Ihr auf unserer Homepage
http://www.koehl.eu/produkte/energie/regenerative-energie/wasserkraftwerke",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1408583892714434/?type=3,2014-10-15 11:51:50,6,0,7
köhl,1380503632189127_1401044343468389,"TOR (Thermo Observation RFID) vereinfacht Ihre Maintenance-Maßnahmen, ist nachrüstbar und die fortschrittlichste Lösung für energieeffizientes Handeln. TOR wurde in Kooperation mit dem Institut Fraunhofer IPMS entwickelt.

Die TOR Vorteile im Detail:
• Permanente, drahtlose Temperaturüberwachung
• Diagnose zur Verbesserung der Energieeffizienz
• Optimierung der höchstmöglichen Verfügbarkeit
• Warnung bei Überschreiten der Temperaturwerte
• Dokumentation der Mess-Daten
• Kostenersparnis bei der Instandhaltung

Mehr Informationen zu TOR findet Ihr auf unserer Homepage http://www.koehl.eu/produkte/energie/safeenergy/tor/",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1401044343468389/?type=3,2014-10-03 07:35:01,2,0,2
köhl,1380503632189127_1399365200302970,"Wir suchen IT Vetriebsmitarbeiter für Lager- , Materialfluss- und Produktionslogistik.  
Bewerben könnt ihr Euch unter job@koehl.eu",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1399365200302970/?type=3,2014-09-30 05:37:39,0,0,3
köhl,1380503632189127_1397437303829093,"Wir suchen Verstärkung für unser Team!

- Projektleiter Bereich HVAC
- Baustellenleiter Bereich HVAC
- Service-Installateur Bereich HVAC 

- Konstruktions- und Industriemechaniker 
- Konstrukteur für Sondermaschinen 
- Mechaniker für Sondermaschinen 

Informationen hierzu findet Ihr auf unserer Homepage
http://www.koehl.eu/unternehmen/karriere/stellenangebote/",,status,,2014-09-26 09:25:29,5,0,4
köhl,1380503632189127_1394729264099897,"Wir suchen Dich!
Für den Bereich Systemtechnik suchen wir Automatisierungsingenieure/-techniker. 
Informationen hierzu findet Ihr auf unserer Homepage
http://www.koehl.eu/unternehmen/karriere/stellenangebote/",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1394729264099897/?type=3,2014-09-19 05:22:24,2,0,3
köhl,1380503632189127_1394290214143802,"HEINEN KÖHL bietet innovative Lösungen für das automatisierte Case Unpacking. Sicher, schnell und bedienerfreundlich.
Für das automatische Entkleiden von Tabakballen setzt HEINEN KÖHL auf den Einsatz prozesssicherer Industrieroboter und einen technisch ausgereiften Greifer. 

Seht euch an wie so ein Roboter arbeitet
https://www.youtube.com/watch?v=eb5mneJ1IWU",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1394290214143802/?type=3,2014-09-17 12:26:39,5,0,2
köhl,1380503632189127_1393090927597064,"Der 2. KÖHL Technologietag findet am 14. Oktober 2014 in Wecker, Luxembourg statt. Basierend auf den Aspekten moderner, instandhaltungserleichternder Maßnahmen unter Zuhilfenahme intelligenter Anlagendiagnostik sind ca. 6 Fachvorträge vorgesehen. Weitere Informationen zum Programmablauf findet Ihr unter http://www.koehl.eu/technologietag/programm-technologietag/",Timeline Photos,photo,https://www.facebook.com/1380503632189127/photos/a.1380508465521977.1073741828.1380503632189127/1393090927597064/?type=3,2014-09-09 08:23:34,0,0,0
